x,y,mean,0.05,0.5,0.95
-5.0,-5.2490005,-4.868911840297134,-6.285407516266354,-5.228989889135219,-2.751720613541106
-4.990225,-2.7939844,-3.4118761483774547,-6.285407516266354,-3.385182936256799,-2.751720613541106
-4.9804497,-3.3787246,-3.6400465347415074,-6.285407516266354,-3.385182936256799,-2.751720613541106
-4.9706745,-4.662559,-3.9818199368847553,-6.285407516266354,-3.788645450938085,-2.751720613541106
-4.9608994,-3.655224,-3.8216589549264013,-6.285407516266354,-3.6634110347074,-2.751720613541106
-4.951124,-2.7810674,-3.448359119791845,-6.285407516266354,-3.264162292156198,-2.751720613541106
-4.941349,-3.1853552,-3.5579211176823176,-6.285407516266354,-3.264162292156198,-2.751720613541106
-4.931574,-4.424908,-4.108109211987933,-6.285407516266354,-4.451180325995949,-2.751720613541106
-4.9217987,-5.578102,-4.648448616311988,-6.285407516266354,-4.566499721061256,-2.751720613541106
-4.9120235,-3.5176163,-3.5405033532996106,-6.285407516266354,-3.6010405364299083,-2.751720613541106
-4.9022484,-2.8529258,-3.5405033532996106,-6.285407516266354,-3.3824121037765646,-2.751720613541106
-4.892473,-4.032299,-3.5405033532996106,-6.285407516266354,-3.4716356730796156,-2.751720613541106
-4.882698,-3.0476441,-3.5405033532996106,-6.285407516266354,-3.4716356730796156,-2.751720613541106
-4.872923,-3.4372795,-3.5405033532996106,-6.285407516266354,-3.4381356803746526,-2.751720613541106
-4.8631477,-3.9074633,-3.5405033532996106,-6.285407516266354,-3.782043296730401,-2.751720613541106
-4.8533726,-2.3473659,-3.3367146094574593,-6.285407516266354,-2.7620342699591562,-2.751720613541106
-4.8435974,-3.220762,-3.4240542252792974,-6.285407516266354,-3.2070388237540173,-2.751720613541106
-4.8338223,-3.7331865,-3.790180778371647,-6.285407516266354,-3.8866022059027605,-2.751720613541106
-4.824047,-5.3669567,-4.775182277156147,-6.285407516266354,-5.103171475396938,-2.751720613541106
-4.814272,-4.5888815,-4.775182277156147,-6.285407516266354,-4.609767970200214,-2.751720613541106
-4.804497,-5.585955,-4.775182277156147,-6.285407516266354,-4.609767970200214,-2.751720613541106
-4.7947216,-3.7414877,-4.775182277156147,-6.285407516266354,-4.419496826528272,-2.751720613541106
-4.7849464,-6.293371,-4.775182277156147,-6.285407516266354,-4.419496826528272,-2.751720613541106
-4.7751713,-3.6187334,-4.775182277156147,-6.285407516266354,-4.353271069157759,-2.751720613541106
-4.765396,-4.612841,-4.775182277156147,-6.285407516266354,-4.600582559602896,-2.751720613541106
-4.755621,-4.060454,-4.775182277156147,-6.285407516266354,-4.600582559602896,-2.751720613541106
-4.7458453,-4.6983223,-4.775182277156147,-6.285407516266354,-4.731856516724087,-2.751720613541106
